owner,n.datasets,datasets
https://data.cityofnewyork.us/d/miig-bb9y
https://data.cityofnewyork.us/d/v8d9-x3be
https://bronx.lehman.cuny.edu/d/in4r-yuvc
https://bronx.lehman.cuny.edu/d/miig-bb9y
https://bronx.lehman.cuny.edu/d/v8d9-x3be"
s4mk-vbh7,2,"https://data.oregon.gov/d/ik4z-wmpt
https://data.oregon.gov/d/xtgp-sqxd"
3s7g-fwk3,2,"https://data.sunlightlabs.com/d/5e8t-nuuc
https://data.sunlightlabs.com/d/cyhx-8shc"
umiu-vd5g,1,https://data.maryland.gov/d/nn3z-6ak2
dy8k-34as,1,https://finances.worldbank.org/d/x5wq-ricq
wxkb-nn48,4,"https://data.baltimorecity.gov/d/7mrm-iy62
https://data.baltimorecity.gov/d/7z4d-ftqa
https://data.baltimorecity.gov/d/vwiq-wvqi
https://data.baltimorecity.gov/d/jwyd-hpd7"
gjsm-wh85,1,https://data.raleighnc.gov/d/qwvj-4fvs
m6v9-ygst,1,https://finances.worldbank.org/d/ugre-jgi4
crea-wuvw,1,https://finances.worldbank.org/d/v43h-vj78
33ub-p5pd,3,"https://data.hawaii.gov/d/akbb-bzii
https://data.oregon.gov/d/akbb-bzii
https://data.ok.gov/d/akbb-bzii"
c7nd-4fzt,2,"https://data.illinois.gov/d/yyg3-34ay
https://www.metrochicagodata.org/d/yyg3-34ay"
gamp-a8kp,2,"https://data.cityofnewyork.us/d/dw2u-7wut
https://bronx.lehman.cuny.edu/d/dw2u-7wut"
et9u-v46q,2,"https://data.cityofmadison.com/d/cmc6-9s4y
https://data.cityofmadison.com/d/4usf-7zpj"
2apb-rgf3,4,"https://data.cityofnewyork.us/d/6jze-ws7c
https://data.cityofnewyork.us/d/y3fn-e8pm
https://bronx.lehman.cuny.edu/d/6jze-ws7c
https://bronx.lehman.cuny.edu/d/y3fn-e8pm"
sitb-wiuy,4,"https://data.cityofnewyork.us/d/wx7f-ja59
https://data.cityofnewyork.us/d/c7kw-kgxb
https://bronx.lehman.cuny.edu/d/wx7f-ja59
https://bronx.lehman.cuny.edu/d/c7kw-kgxb"
zxnh-c8ui,1,https://finances.worldbank.org/d/5ezc-pu78
h8ke-ygy2,1,https://finances.worldbank.org/d/8seu-szm2
wxtx-nfsz,1,https://data.colorado.gov/d/qtrr-8ftk
6gdk-qzic,1,https://data.sfgov.org/d/y4sv-4k7u
3579-fye6,2,"https://data.cityofnewyork.us/d/i2zr-u2s9
https://bronx.lehman.cuny.edu/d/i2zr-u2s9"
mpn4-apin,1,https://data.colorado.gov/d/wudi-fchh
bmwg-66e4,3,"https://data.hawaii.gov/d/qinq-azmt
https://data.oregon.gov/d/qinq-azmt
https://data.ok.gov/d/qinq-azmt"
ydsr-gtsc,1,https://data.baltimorecity.gov/d/uhf5-9j9t
jptt-xzpf,11,"https://data.kingcounty.gov/d/fxb3-27n3
https://data.kingcounty.gov/d/vht3-x9wm
https://data.kingcounty.gov/d/63jr-ppii
https://data.kingcounty.gov/d/um74-49cp
https://data.kingcounty.gov/d/kutu-6ycn
https://data.kingcounty.gov/d/g78b-59ay
https://data.kingcounty.gov/d/ytxa-ucf3
https://data.kingcounty.gov/d/g4pq-c744
https://data.kingcounty.gov/d/tby9-5z6c
https://data.kingcounty.gov/d/q9vd-4dzg
https://data.kingcounty.gov/d/cwxw-r9tk"
bvq2-vsb3,1,https://data.baltimorecity.gov/d/bj6w-wbk7
4vhs-3mej,1,https://finances.worldbank.org/d/bsa3-g764
7jka-9mwh,1,https://finances.worldbank.org/d/iqgv-yfjm
kxu2-gxch,6,"https://data.hawaii.gov/d/wrs2-ngb6
https://data.hawaii.gov/d/sn7p-uzwy
https://data.oregon.gov/d/wrs2-ngb6
https://data.oregon.gov/d/sn7p-uzwy
https://data.ok.gov/d/wrs2-ngb6
https://data.ok.gov/d/sn7p-uzwy"
sfp2-64qd,5,"https://data.baltimorecity.gov/d/apch-2mg7
https://data.baltimorecity.gov/d/gi2x-9wj3
https://data.baltimorecity.gov/d/b4u4-yb9i
https://data.baltimorecity.gov/d/cbaj-mb3c
https://data.baltimorecity.gov/d/h45u-jfhd"
xa3j-m7kr,3,"https://data.hawaii.gov/d/i55j-esez
https://data.oregon.gov/d/i55j-esez
https://data.ok.gov/d/i55j-esez"
pgfs-k4ek,1,https://data.seattle.gov/d/65i5-ktgy
w3up-4qgq,1,https://data.acgov.org/d/9q7d-p9fw
a3jf-t6zh,3,"https://data.hawaii.gov/d/5anh-bdcd
https://data.oregon.gov/d/5anh-bdcd
https://data.ok.gov/d/5anh-bdcd"
462p-6m8q,1,https://data.oregon.gov/d/84hk-juy3
fejz-fzyz,2,"https://finances.worldbank.org/d/pzdb-tkng
https://finances.worldbank.org/d/itu8-ztwj"
arzx-ssif,3,"https://www.data.act.gov.au/d/vf94-th2f
https://www.data.act.gov.au/d/7zub-jyjj
https://www.data.act.gov.au/d/jytk-z4t5"
3uet-e47d,1,https://data.oregon.gov/d/jdh7-22cq
9djz-fmxd,1,https://finances.worldbank.org/d/hqdc-ygxi
84ah-yut7,3,"https://data.seattle.gov/d/bnf9-379r
https://data.seattle.gov/d/tpn6-u2aa
https://data.seattle.gov/d/8f9g-iqtm"
5wfm-gkrf,4,"https://data.slcgov.com/d/5ate-q28a
https://data.slcgov.com/d/jww7-nxe8
https://data.slcgov.com/d/un62-z97s
https://data.slcgov.com/d/vytj-hddx"
nm5u-25np,3,"https://data.oregon.gov/d/9rsu-n5ec
https://data.oregon.gov/d/9pzg-k5v5
https://data.oregon.gov/d/ge5f-n6bz"
4kqq-7tfs,1,https://finances.worldbank.org/d/vp3b-cq78
ep97-n7qh,1,https://data.oregon.gov/d/ph22-57s9
rth8-ngz8,30,"https://data.illinois.gov/d/i8hz-ffis
https://data.illinois.gov/d/xuuw-9mzb
https://data.illinois.gov/d/8st2-g2tf
https://data.illinois.gov/d/kc8y-8tqk
https://data.illinois.gov/d/dq2r-y9bw
https://data.illinois.gov/d/jj3q-32um
https://data.illinois.gov/d/fund-btaz
https://data.illinois.gov/d/cb2a-8e6s
https://data.illinois.gov/d/vcg3-dux6
https://data.illinois.gov/d/9jqz-nfak
https://data.illinois.gov/d/mypp-sb8d
https://data.illinois.gov/d/84hd-bxse
https://data.illinois.gov/d/f4mx-73e4
https://data.illinois.gov/d/uvc2-c2wn
https://data.illinois.gov/d/ry7q-f463
https://www.metrochicagodata.org/d/i8hz-ffis
https://www.metrochicagodata.org/d/xuuw-9mzb
https://www.metrochicagodata.org/d/8st2-g2tf
https://www.metrochicagodata.org/d/kc8y-8tqk
https://www.metrochicagodata.org/d/dq2r-y9bw
https://www.metrochicagodata.org/d/jj3q-32um
https://www.metrochicagodata.org/d/fund-btaz
https://www.metrochicagodata.org/d/cb2a-8e6s
https://www.metrochicagodata.org/d/vcg3-dux6
https://www.metrochicagodata.org/d/9jqz-nfak
https://www.metrochicagodata.org/d/mypp-sb8d
https://www.metrochicagodata.org/d/84hd-bxse
https://www.metrochicagodata.org/d/f4mx-73e4
https://www.metrochicagodata.org/d/uvc2-c2wn
https://www.metrochicagodata.org/d/ry7q-f463"
h875-axsz,6,"https://data.hawaii.gov/d/3cng-x8v6
https://data.hawaii.gov/d/da4x-qhca
https://data.oregon.gov/d/3cng-x8v6
https://data.oregon.gov/d/da4x-qhca
https://data.ok.gov/d/3cng-x8v6
https://data.ok.gov/d/da4x-qhca"
2rq5-heka,1,https://finances.worldbank.org/d/5syk-g5ek
vcvp-yass,95,"https://data.nola.gov/d/ypza-44w8
https://data.wa.gov/d/fwam-6bsu
https://data.wa.gov/d/gxzt-3ghh
https://opendata.go.ke/d/md74-hbzk
https://data.illinois.gov/d/8khy-ygji
https://data.illinois.gov/d/7x35-w69g
https://data.illinois.gov/d/7whn-3rnd
https://data.illinois.gov/d/5tm3-epum
https://data.illinois.gov/d/j56i-q45c
https://data.illinois.gov/d/dey3-nf52
https://data.illinois.gov/d/ta5w-2j59
https://data.illinois.gov/d/adjt-wwru
https://data.illinois.gov/d/qt5s-ydfa
https://data.hawaii.gov/d/xfvp-zp83
https://data.hawaii.gov/d/reuz-2iey
https://data.hawaii.gov/d/wy7w-tcd5
https://data.hawaii.gov/d/v2k9-msid
https://data.hawaii.gov/d/gb78-jhh6
https://data.hawaii.gov/d/773q-axq9
https://data.hawaii.gov/d/4sw5-c8vh
https://data.hawaii.gov/d/aqp2-iagq
https://data.hawaii.gov/d/aqx6-6d8i
https://data.hawaii.gov/d/atva-bnt7
https://data.hawaii.gov/d/b89r-zx2t
https://data.hawaii.gov/d/dgmf-xkdq
https://data.hawaii.gov/d/sna2-einu
https://data.hawaii.gov/d/xy6g-unaa
https://data.sfgov.org/d/37e6-wud9
https://data.sfgov.org/d/et2n-bkn3
https://data.sfgov.org/d/uvfd-t4jk
https://data.sfgov.org/d/x3th-utvj
https://www.metrochicagodata.org/d/8khy-ygji
https://www.metrochicagodata.org/d/7x35-w69g
https://www.metrochicagodata.org/d/7whn-3rnd
https://www.metrochicagodata.org/d/5tm3-epum
https://www.metrochicagodata.org/d/j56i-q45c
https://www.metrochicagodata.org/d/dey3-nf52
https://www.metrochicagodata.org/d/ta5w-2j59
https://www.metrochicagodata.org/d/adjt-wwru
https://www.metrochicagodata.org/d/qt5s-ydfa
https://data.kingcounty.gov/d/fmz3-9pjy
https://data.kingcounty.gov/d/snbq-uqz3
https://data.baltimorecity.gov/d/k5ut-2ted
https://data.baltimorecity.gov/d/bgw9-37du
https://explore.data.gov/d/wrn7-g5wr
https://explore.data.gov/d/wdim-twyd
https://explore.data.gov/d/iema-87p3
https://www.opendatanyc.com/d/v8g9-pa34
https://www.opendatanyc.com/d/he68-fctf
https://www.opendatanyc.com/d/m4xt-kdvf
https://www.opendatanyc.com/d/67t6-t8nt
https://www.opendatanyc.com/d/by8a-v3kg
https://www.opendatanyc.com/d/iqnt-uph2
https://www.opendatanyc.com/d/dxdw-kum4
https://www.opendatanyc.com/d/x4fm-axyj
https://www.opendatanyc.com/d/74im-nuw8
https://www.opendatanyc.com/d/ajya-y76c
https://www.opendatanyc.com/d/saip-v2ry
https://www.opendatanyc.com/d/2kq5-tcvx
https://www.opendatanyc.com/d/caz5-p6m2
https://www.opendatanyc.com/d/6vyt-tufc
https://data.raleighnc.gov/d/cjt7-6hyt
https://data.oregon.gov/d/jbcv-jjm5
https://controllerdata.lacity.org/d/7bbq-8b9r
https://controllerdata.lacity.org/d/7cfr-8b3g
https://controllerdata.lacity.org/d/hmvt-bjfk
https://controllerdata.lacity.org/d/uuhh-hvvk
https://controllerdata.lacity.org/d/5g8d-u36b
https://controllerdata.lacity.org/d/fz9c-7c3j
https://controllerdata.lacity.org/d/gfxh-ds7t
https://controllerdata.lacity.org/d/ifuf-j5ts
https://controllerdata.lacity.org/d/m9u2-wis6
https://controllerdata.lacity.org/d/nhzb-ghu6
https://controllerdata.lacity.org/d/pmb4-n24k
https://controllerdata.lacity.org/d/qy6d-um74
https://controllerdata.lacity.org/d/tz7n-sj8z
https://controllerdata.lacity.org/d/jbxg-3qpc
https://controllerdata.lacity.org/d/dsnd-us3j
https://controllerdata.lacity.org/d/hpxk-2i55
https://data.lacity.org/d/7bbq-8b9r
https://data.lacity.org/d/7cfr-8b3g
https://data.lacity.org/d/dmp8-yjua
https://data.lacity.org/d/diwn-hzsc
https://data.lacity.org/d/5g8d-u36b
https://data.lacity.org/d/fz9c-7c3j
https://data.lacity.org/d/gfxh-ds7t
https://data.lacity.org/d/ifuf-j5ts
https://data.lacity.org/d/m9u2-wis6
https://data.lacity.org/d/nhzb-ghu6
https://data.lacity.org/d/pmb4-n24k
https://data.lacity.org/d/qy6d-um74
https://data.lacity.org/d/tz7n-sj8z
https://data.lacity.org/d/jbxg-3qpc
https://data.lacity.org/d/dsnd-us3j
https://data.lacity.org/d/hpxk-2i55"
hcha-569t,6,"https://data.cityofnewyork.us/d/ndrm-ixw2
https://data.cityofnewyork.us/d/m2dp-9798
https://data.cityofnewyork.us/d/xjbj-26fh
https://bronx.lehman.cuny.edu/d/ndrm-ixw2
https://bronx.lehman.cuny.edu/d/m2dp-9798
https://bronx.lehman.cuny.edu/d/xjbj-26fh"
3wtj-mdta,2,"https://data.oregon.gov/d/xzbd-4f5f
https://data.oregon.gov/d/itzq-eckb"
bcj3-yy2c,1,https://finances.worldbank.org/d/wiik-w5xp
aenh-8c6m,3,"https://data.hawaii.gov/d/ff7k-8xpt
https://data.oregon.gov/d/ff7k-8xpt
https://data.ok.gov/d/ff7k-8xpt"
ehhz-z8f9,2,"https://data.cityofnewyork.us/d/urib-cg6g
https://bronx.lehman.cuny.edu/d/urib-cg6g"
hs2j-y9rm,1,https://data.oregon.gov/d/4wxe-vvuk
mnrh-umxh,2,"https://data.oregon.gov/d/gkut-spcf
https://data.oregon.gov/d/d279-atv5"
dfd4-e4gb,2,"https://data.cityofnewyork.us/d/69q2-f7pk
https://bronx.lehman.cuny.edu/d/69q2-f7pk"
4v69-vcrw,2,"https://data.cityofnewyork.us/d/jb6m-g4b6
https://bronx.lehman.cuny.edu/d/jb6m-g4b6"
4azc-9x9a,2,"https://data.seattle.gov/d/6dch-gfgj
https://data.seattle.gov/d/9rvu-q9pd"
e3km-ghcx,2,"https://data.cityofnewyork.us/d/q5ue-j53h
https://bronx.lehman.cuny.edu/d/q5ue-j53h"
i2cs-ctba,4,"https://data.kingcounty.gov/d/53th-fexa
https://data.kingcounty.gov/d/8neq-vwpe
https://data.kingcounty.gov/d/wvub-sa8d
https://data.kingcounty.gov/d/8zk8-z7jm"
7kfg-wq9g,13,"https://data.seattle.gov/d/a9p5-jt7m
https://data.seattle.gov/d/2wp5-fxp4
https://data.seattle.gov/d/g6zm-6xz2
https://data.seattle.gov/d/uuup-rnce
https://data.seattle.gov/d/uiqp-c4md
https://data.seattle.gov/d/xe56-pkcy
https://data.seattle.gov/d/k9u8-jjay
https://data.seattle.gov/d/6xni-nfrv
https://data.seattle.gov/d/u7bs-6z2e
https://data.seattle.gov/d/c4a5-ywih
https://data.seattle.gov/d/6man-r56s
https://data.seattle.gov/d/jxjz-dkwn
https://data.seattle.gov/d/44pc-zwhj"
sizy-scsv,2,"https://data.cityofnewyork.us/d/9n7u-vq4t
https://bronx.lehman.cuny.edu/d/9n7u-vq4t"
wsxd-5644,3,"https://data.hawaii.gov/d/kpdn-bpni
https://data.oregon.gov/d/kpdn-bpni
https://data.ok.gov/d/kpdn-bpni"
yv8r-wpid,1,https://data.baltimorecity.gov/d/wkfz-s7p7
rc58-67rk,1,https://finances.worldbank.org/d/ujqp-6gk4
uds7-76fj,2,"https://data.cityofnewyork.us/d/eypk-ccwq
https://bronx.lehman.cuny.edu/d/eypk-ccwq"
66hx-j5xv,1,https://finances.worldbank.org/d/8pqg-7mik
mkvj-vxjf,6,"https://data.cityofnewyork.us/d/rnnm-hvgg
https://data.cityofnewyork.us/d/dzht-bx82
https://data.cityofnewyork.us/d/ytf6-fqxg
https://bronx.lehman.cuny.edu/d/rnnm-hvgg
https://bronx.lehman.cuny.edu/d/dzht-bx82
https://bronx.lehman.cuny.edu/d/ytf6-fqxg"
vkpq-ifmu,3,"https://data.hawaii.gov/d/rmzr-p244
https://data.oregon.gov/d/rmzr-p244
https://data.ok.gov/d/rmzr-p244"
kbxi-4fvy,10,"https://data.cityofnewyork.us/d/m727-v6i8
https://data.cityofnewyork.us/d/uxt9-em6r
https://data.cityofnewyork.us/d/9qth-rzm7
https://data.cityofnewyork.us/d/tc42-f572
https://data.cityofnewyork.us/d/weyq-ib2i
https://bronx.lehman.cuny.edu/d/m727-v6i8
https://bronx.lehman.cuny.edu/d/uxt9-em6r
https://bronx.lehman.cuny.edu/d/9qth-rzm7
https://bronx.lehman.cuny.edu/d/tc42-f572
https://bronx.lehman.cuny.edu/d/weyq-ib2i"
yd5p-8bs2,4,"https://data.cityofboston.gov/d/56yd-3zvj
https://data.cityofboston.gov/d/dd5y-axnj
https://data.cityofboston.gov/d/ngey-8re3
https://data.cityofboston.gov/d/enum-qusz"
mnkj-bu52,141,"https://controllerdata.lacity.org/d/x23h-7hzr
https://controllerdata.lacity.org/d/pggv-e4fn
https://controllerdata.lacity.org/d/gdqz-y3t2
https://controllerdata.lacity.org/d/t5z8-f2k6
https://controllerdata.lacity.org/d/ydyi-7myj
https://controllerdata.lacity.org/d/48n6-48cy
https://controllerdata.lacity.org/d/r644-u3jg
https://controllerdata.lacity.org/d/dhtx-tvy8
https://controllerdata.lacity.org/d/qwh2-nzt2
https://controllerdata.lacity.org/d/q9s5-fwnk
https://controllerdata.lacity.org/d/v7bt-snsj
https://controllerdata.lacity.org/d/jfu2-sf7k
https://controllerdata.lacity.org/d/sttr-9nxz
https://controllerdata.lacity.org/d/7ct3-9xz9
https://controllerdata.lacity.org/d/rjax-yaa9
https://controllerdata.lacity.org/d/6jqc-dtmi
https://controllerdata.lacity.org/d/8euj-efvz
https://controllerdata.lacity.org/d/fbs3-k6nk
https://controllerdata.lacity.org/d/jbcw-gaj7
https://controllerdata.lacity.org/d/q36d-xkyp
https://controllerdata.lacity.org/d/qmzq-gpkf
https://controllerdata.lacity.org/d/tnz4-kaiq
https://controllerdata.lacity.org/d/bzrs-txbr
https://controllerdata.lacity.org/d/gd79-383v
https://controllerdata.lacity.org/d/pjdq-6c49
https://controllerdata.lacity.org/d/ve9e-73kp
https://controllerdata.lacity.org/d/5tpi-ega7
https://controllerdata.lacity.org/d/a5z4-wf55
https://controllerdata.lacity.org/d/aii8-vnai
https://controllerdata.lacity.org/d/ke7f-4ign
https://controllerdata.lacity.org/d/vgir-dakc
https://controllerdata.lacity.org/d/ywj4-29c3
https://controllerdata.lacity.org/d/jke5-hj4u
https://controllerdata.lacity.org/d/nt3e-ivax
https://controllerdata.lacity.org/d/nyyi-i4ed
https://controllerdata.lacity.org/d/tthk-ge8x
